AnalysisMethodID,Name_NO,Description_NO,Name_EN,Description_EN,Withdrawn,Protocol_Name,Comments
SOP3B,SOP 3b - Total alkalinity (open cell),Dickson et. al. (2007). Determination of total alkalinity in sea water using an open-cell titration.,SOP 3b - Total alkalinity (open cell),Dickson et. al.. Determination of total alkalinity in sea water using an open-cell titration.,FALSE,Other,Classical/non-instrumental analytical method
SOP2,SOP 2 - Total dissolved inorganic carbon,Dickson et. al. (2007). Determination of dissolved inorganic carbon in sea water.,SOP 2 - Total dissolved inorganic carbon,Dickson et. al.. Determination of dissolved inorganic carbon in sea water.,FALSE,Other,Could not determine specific analytical technique
SEACARB,Seacarb,Lavigne & Gattuso (2010). Seacarb: Seawater carbonate checmistry with R.,Seacarb,Lavigne & Gattuso. Seacarb: Seawater carbonate checmistry with R.,FALSE,Other,Could not determine specific analytical technique
CO2SYS_AT_CT,CO2SYS beregnet med total alkalinitet (AT) og totalt uorganisk karbon løst i sjøvann (CT) som input-parametre.,"The program CO2SYS performs calculations relating parameters of the carbon dioxide (CO2) system in seawater and freshwater. The program uses two of the four measurable parameters of the CO2 system [total alkalinity (TA), total dissolved inorganic carbon (CT), pH, and either fugacity (fCO2) or partial pressure of CO2 (pCO2)] to calculate the other two parameters at a set of input conditions (temperature and pressure) and a set of output conditions chosen by the user. Mehrbach et al (1973), modifiisert av Dickson & Millero (1987).",CO2SYS beregnet med total alkalinitet (AT) og totalt uorganisk karbon løst i sjøvann (CT) som input-parametre.,"The program CO2SYS performs calculations relating parameters of the carbon dioxide (CO2) system in seawater and freshwater. The program uses two of the four measurable parameters of the CO2 system [total alkalinity (TA), total dissolved inorganic carbon (CT), pH, and either fugacity (fCO2) or partial pressure of CO2 (pCO2)] to calculate the other two parameters at a set of input conditions (temperature and pressure) and a set of output conditions chosen by the user. Mehrbach et al, modifiisert of Dickson & Millero.",FALSE,Other,Could not determine specific analytical technique
NS 4718,Bunndyr: Prøvetaking på bløtbunn. (NS 4718:1988; Tilbaketrukket),Bunnfauna - Prøvetaking med Ekmanhenter på bløtbunn. Tilbaketrukket.,Bunndyr: Prøvetaking på bløtbunn.,Bunnfauna - sampling with Ekmanhenter on bløtbunn. Withdrawn.,TRUE,Other,Could not determine specific analytical technique
NS-EN ISO 5814:2012,Elektrokjemisk metode (ISO 5814:2012),Bestemmelse av oppløst oksygen. Elektrokjemisk metode (ISO 5814:2012).,Electrochemical method,Determination of dissolved oxygen. Elektrokjemisk method.,FALSE,Other,Classical/non-instrumental analytical method
NS-EN ISO 10523:2012,Elektrokjemisk metode (ISO 10523:2012),Måling av pH (ISO 10523:2008) ,Electrochemical method,Measurement of pH,FALSE,Other,Classical/non-instrumental analytical method
NS-EN ISO 16665:2014,Marin bløtbunnsfauna (ISO 16665:2014),Retningslinjer for kvantitativ prøvetaking og prøvebehandling av marin bløtbunnsfauna (ISO 16665:2014) ,Marin bløtbunnsfauna,Guidelines for kvantitativ sampling and prøvebehandling of marin bløtbunnsfauna,FALSE,Not relevant,"Reference method, guideline, or calculation"
NS-ISO 15705:2002,Spektrofotometri (ISO 15705:2002),Bestemmelse av indeks for kjemisk oksygenforbruk (ST-COD) - Småskalametode i forseglede rør,Spectrophotometry,Determination of indeks for kjemisk oksygenforbruk (ST-COD) - Småskalametode in forseglede rør,FALSE,Spectrophotometry,
MJELDE_2013,Mjelde et al. (2013),"Mjelde, M., Hellsten, S. & Ecke, F. 2012. A water level drawdown index for aquatic macrophytes in Nordic lakes. Hydrobiologia DOI 10.1007/s10750-012-1323-6.",Mjelde et al.,"Mjelde, M., Hellsten, S. & Ecke, F. 2012. A water level drawdown index for aquatic macrophytes in Nordic lakes. Hydrobiologia DOI 10.1007/s10750-012-1323-6.",FALSE,Other,Could not determine specific analytical technique
CO2SYS_AT_PH,CO2SYS beregnet med total alkalinitet (AT) og pH (totalskala) som input-parametre.,"The program CO2SYS performs calculations relating parameters of the carbon dioxide (CO2) system in seawater and freshwater. The program uses two of the four measurable parameters of the CO2 system [total alkalinity (TA), total dissolved inorganic carbon (CT), pH, and either fugacity (fCO2) or partial pressure of CO2 (pCO2)] to calculate the other two parameters at a set of input conditions (temperature and pressure) and a set of output conditions chosen by the user. Mehrbach et al (1973), modifiisert av Dickson & Millero (1987).",CO2SYS beregnet med total alkalinitet (AT) og pH (totalskala) som input-parametre.,"The program CO2SYS performs calculations relating parameters of the carbon dioxide (CO2) system in seawater and freshwater. The program uses two of the four measurable parameters of the CO2 system [total alkalinity (TA), total dissolved inorganic carbon (CT), pH, and either fugacity (fCO2) or partial pressure of CO2 (pCO2)] to calculate the other two parameters at a set of input conditions (temperature and pressure) and a set of output conditions chosen by the user. Mehrbach et al, modifiisert of Dickson & Millero.",FALSE,Other,Could not determine specific analytical technique
NS-EN 15216:2007,Veiing (NS-EN 15216:2007),Karakterisering av avfall - Bestemmelse av totalt løst tørrstoff (TLS) i vann og eluater.,Veiing,Karakterisering of avfall - determination of total løst tørrstoff (TLS) in water and eluater.,FALSE,Other,Could not determine specific analytical technique
NS-EN 14407:2014,Bentiske kiselalger fra rennende vann og innsjøer (NS-EN 14407:2014),Veiledning for identifisering og telling av prøver av bentiske kiselalger fra rennende vann og innsjøer,Bentiske kiselalger fra rennende vann og innsjøer,Veiledning for identifisering and telling of prøver of bentiske kiselalger fra rennende water and innsjøer,FALSE,Other,Could not determine specific analytical technique
NS-EN 16161:2012,Spektrofotometri In vivo (NS-EN 16161:2012),Veiledning i bruk av in vivo absorpsjonsteknikker for estimering av konsentrasjonen av klorofyll a i prøver fra marint vann og fra ferskvann.,Spectrophotometry In vivo,Veiledning in bruk of in vivo absorpsjonsteknikker for estimering of konsentrasjonen of klorofyll a in prøver fra marint water and fra ferskvann.,FALSE,Spectrophotometry,
PTACNIK_2009,Ptacnik et al. (2009),"Ptacnik, R., A. Solimini & P. Brettum 2009. Water framework directive intercalibration technical report Part 2: lakes. Luxembourg, European Commission JRC report 23838: 176 pp.",Ptacnik et al.,"Ptacnik, R., A. Solimini & P. Brettum 2009. Water framework directive intercalibration technical report Part 2: lakes. Luxembourg, European Commission JRC report 23838: 176 pp.",FALSE,Other,Could not determine specific analytical technique
NS-EN 1541:2001,Ukjent metode (EN 1541:2001),Papir og papp beregnet på kontakt med næringsmidler. Bestemmelse av formaldehyd i vannekstrakt. (EN 1541:2001),Ukjent metode,Papir and papp beregnet on kontakt with næringsmidler. determination of formaldehyd in vannekstrakt.,FALSE,Other,Could not determine specific analytical technique
NS-ISO 28540:2011,Gasskromatografi (ISO 28540:2011),Vannundersøkelse - Bestemmelse av 16 polysykliske aromatiske hydrokarboner (PAH) i vann - Metode basert på gasskromatografi med massespektrometrisk deteksjon (GC-MS) ,Gas chromatography,Vannundersøkelse - determination of 16 polysykliske aromatiske hydrokarboner (PAH) in water - method basert on gasskromatografi with massespektrometrisk deteksjon (GC-MS),FALSE,GC-MS,
ISO 10694 IR,Infrarød spektrofotometri (ISO 10694),Determination of organic and total carbon after dry combustion (elementary analysis),Infrared spectrophotometry,Determination of organic and total carbon after dry combustion (elementary analysis),FALSE,Spectrophotometry,
ISO 10694 EL,Elektrokjemisk metode (ISO 10694),Determination of organic and total carbon after dry combustion (elementary analysis),Electrochemical method,Determination of organic and total carbon after dry combustion (elementary analysis),FALSE,Other,Classical/non-instrumental analytical method
ISO 10694 GC,Gasskromatografi (ISO 10694),Determination of organic and total carbon after dry combustion (elementary analysis),Gas chromatography,Determination of organic and total carbon after dry combustion (elementary analysis),FALSE,Other,Could not determine specific analytical technique
LYDERSEN_2004,Lydersen et al. (2004),"Lydersen, E., T. Larssen & E. Fjeld 2004. The influence of total organic carbon (TOC) on the relationship between acid neutralizing capacity (ANC) and fish status in Norwegian lakes. Science of the total environment. 326: 63-69.",Lydersen et al.,"Lydersen, E., T. Larssen & E. Fjeld 2004. The influence of total organic carbon (TOC) on the relationship between acid neutralizing capacity (ANC) and fish status in Norwegian lakes. Science of the total environment. 326: 63-69.",FALSE,Other,Could not determine specific analytical technique
NS-EN ISO 22032:2009,Gasskromatografi (ISO 22032),Bestemmelse av utvalgte polybromerte difenyletere i sedimenter og kloakkslam. Metode med ekstraksjon og gasskromatografi/massespektrometri (ISO 22032:2006),Gas chromatography,Determination of selected polybromerte difenyletere in sedimenter and kloakkslam. method with ekstraksjon and gasskromatografi/massespektrometri,FALSE,GC-MS,
LAMI_2008,"NGIG WG LAMI, Unpublished",Lake Acidification Macroinvertebrate Index (LAMI),"NGIG WG LAMI, Unpublished",Lake Acidification Macroinvertebrate Index (LAMI),FALSE,Other,Could not determine specific analytical technique
RAMI_2009,"NGIG WG RAMI, Unpublished",River Acidification Macroinvertebrate Index (RAMI),"NGIG WG RAMI, Unpublished",River Acidification Macroinvertebrate Index (RAMI),FALSE,Other,Could not determine specific analytical technique
NS-EN ISO 10870:2012-1,Bunndyr: Prøvetaking i ferskvann (håv),Veiledning i valg av prøvetakingsmetoder og utstyr til bentiske makroinvertebrater i ferskvann (ISO 10870:2012),Bunndyr: Prøvetaking i ferskvann (håv),Veiledning in valg of prøvetakingsmetoder and utstyr til bentiske makroinvertebrater in ferskvann,FALSE,Other,Could not determine specific analytical technique
NS-EN ISO 10870:2012-2,Bunndyr: Prøvetaking i ferskvann (Surber sampler),Veiledning i valg av prøvetakingsmetoder og utstyr til bentiske makroinvertebrater i ferskvann (ISO 10870:2012),Bunndyr: Prøvetaking i ferskvann (Surber sampler),Veiledning in valg of prøvetakingsmetoder and utstyr til bentiske makroinvertebrater in ferskvann,FALSE,Other,Could not determine specific analytical technique
NS-EN ISO 10870:2012-4,Bunndyr: Prøvetaking i ferskvann (grabb),Veiledning i valg av prøvetakingsmetoder og utstyr til bentiske makroinvertebrater i ferskvann (ISO 10870:2012),Bunndyr: Prøvetaking i ferskvann (grabb),Veiledning in valg of prøvetakingsmetoder and utstyr til bentiske makroinvertebrater in ferskvann,FALSE,Other,Could not determine specific analytical technique
BORJA_2000,Borja et al. (2000),"Á. Borja, J. Franco, V. Pérez 2000. A marine biotic index to establish the ecological quality of soft-bottom benthos within European estuarine and coastal environments. Marine Pollution Bulletin, 40 (2000), pp. 1100–1114",Borja et al.,"Á. Borja, J. Franco, V. Pérez 2000. A marine biotic index to establish the ecological quality of soft-bottom benthos within European estuarine and coastal environments. Marine Pollution Bulletin, 40, pp. 1100–1114",FALSE,Other,Could not determine specific analytical technique
NS-EN ISO 16703:2011,Gasskromatografi (NS-EN ISO 16703:2011),Bestemmelse av innholdet av hydrokarboner i størrelsesområdet C10 til C40 ved hjelp av gasskromatografi (ISO 16703),Gas chromatography,Determination of innholdet of hydrokarboner in størrelsesområdet C10 til C40 ved hjelp of gasskromatografi,FALSE,Other,Could not determine specific analytical technique
RYGG_2013,Rygg & Norling (2013),"Rygg, B. & Norling, K. 2013. Norwegian Sensitivity Index (NSI) for marine macroinvertebrates, and an update of Indicator Species Index (ISI). NIVA-rapport 6475-2013. 46 s.",Rygg & Norling,"Rygg, B. & Norling, K. 2013. Norwegian Sensitivity Index (NSI) for marine macroinvertebrates, and an update of Indicator Species Index (ISI). NIVA-rapport 6475-2013. 46 s.",FALSE,Other,Could not determine specific analytical technique
RYGG_2006,Rygg (2006),"Rygg, B. 2006. Developing indices for quality-status classification of marine soft-bottom fauna in Norway. NIVA-rapport 5208-2006. 33s.",Rygg,"Rygg, B. 2006. Developing indices for quality-status classification of marine soft-bottom fauna in Norway. NIVA-rapport 5208-2006. 33s.",FALSE,Not relevant,"Reference method, guideline, or calculation"
ISO 11277,Sikting og sedimentering (ISO 11277),Determination of particle size distribution in mineral soil material - Method by sieving and sedimentation.,Sikting og sedimentering,Determination of particle size distribution in mineral soil material - Method by sieving and sedimentation.,FALSE,Other,Could not determine specific analytical technique
NS 4797:1987-1,Spektrofotometri (ISO 6703-2:1984; Tilbaketrukket),Bestemmelse av lett tilgjengelig cyanid - Fotometrisk sluttbestemmelse (ISO 6703-2:1984). Tilbaketrukket. Erstattet av NS-EN ISO 17380:2013,Spectrophotometry,Determination of lett tilgjengelig cyanid - Fotometrisk sluttbestemmelse. Withdrawn. Erstattet of NS-EN ISO 17380:2013,TRUE,Spectrophotometry,
NS 4797:1987-2,Titrimetrisk metode (ISO 6703-2:1984; Tilbaketrukket),Bestemmelse av lett tilgjengelig cyanid - Titrimetrisk sluttbestemmelse (ISO 6703-2:1984). Tilbaketrukket. Erstattet av NS-EN ISO 17380:2013,Titrimetric method,Determination of lett tilgjengelig cyanid - Titrimetrisk sluttbestemmelse. Withdrawn. Erstattet of NS-EN ISO 17380:2013,TRUE,Other,Classical/non-instrumental analytical method
NS-EN ISO 7027-1:2016,Nefelometrisk metode (ISO 7027-1:2016),Bestemmelse av turbidittet. Del 1: Kvantitative metoder (ISO 7027-1:2016),Nephelometric method,Determination of turbidittet. Part 1: Kvantitative metoder,FALSE,Other,Classical/non-instrumental analytical method
FBOX-SENSOR,FerryBox sensormålinger (Petersen et. al. 2003),"FerryBox-systemer med sensorer for måling av temperatur, salinitet, turbiditet og fluorescens (klorofyll a). Petersen, W. et al., 2003. FerryBox systems for monitoring coastal waters, In: H. Dahlin, N.C.F.K.N., Petersson, S.E. (Eds.), Elsevier Oceanography Series. Elsevier, pp. 325-333",FerryBox sensormålinger (Petersen et. al. 2003),"FerryBox-systemer with sensorer for måling of temperatur, salinitet, turbiditet and fluorescens (klorofyll a). Petersen, W. et al., 2003. FerryBox systems for monitoring coastal waters, In: H. Dahlin, N.C.F.K.N., Petersson, S.E. (Eds.), Elsevier Oceanography Series. Elsevier, pp. 325-333",FALSE,Fluorescence,
NS-EN ISO 17294-2:2016,ICP-MS (ISO 17294-2:2016; Tilbaketrukket),Bruk av induktivt koplet plasmamassespektrometri (ICP-MS) - Del 2: Bestemmelse av utvalgte elementer inkludert uranisotoper (ISO 17294-2:2016). Tilbaketrukket. Erstattet av NS-EN ISO 17294-2:2023,ICP-MS,Bruk of induktivt koplet plasmamassespektrometri (ICP-MS) - Part 2: determination of selected elementer inkludert uranisotoper. Withdrawn. Erstattet of NS-EN ISO 17294-2:2023,TRUE,ICP-MS,
NS 4755,Titrimetrisk metode (NS 4755:1981; Tilbaketrukket),Aciditet - Potensiometrisk titrering. Tilbaketrukket.,Titrimetric method,Aciditet - Potensiometrisk titrering. Withdrawn.,TRUE,Other,Classical/non-instrumental analytical method
NS 9456:2015,Visuell registrering (anadrom laksefisk),Visuell registrering av sjøvandrende laksefisk i vassdrag,Visuell registrering (anadrom laksefisk),Visuell registrering of sjøvandrende laksefisk in vassdrag,FALSE,Other,Classical/non-instrumental analytical method
CO2SYS_CT_PH,CO2SYS beregnet med totalt uorganisk karbon løst i sjøvann (CT) og pH (totalskala) som input-parametre.,"The program CO2SYS performs calculations relating parameters of the carbon dioxide (CO2) system in seawater and freshwater. The program uses two of the four measurable parameters of the CO2 system [total alkalinity (TA), total dissolved inorganic carbon (CT), pH, and either fugacity (fCO2) or partial pressure of CO2 (pCO2)] to calculate the other two parameters at a set of input conditions (temperature and pressure) and a set of output conditions chosen by the user. Mehrbach et al (1973), modifiisert av Dickson & Millero (1987).",CO2SYS beregnet med totalt uorganisk karbon løst i sjøvann (CT) og pH (totalskala) som input-parametre.,"The program CO2SYS performs calculations relating parameters of the carbon dioxide (CO2) system in seawater and freshwater. The program uses two of the four measurable parameters of the CO2 system [total alkalinity (TA), total dissolved inorganic carbon (CT), pH, and either fugacity (fCO2) or partial pressure of CO2 (pCO2)] to calculate the other two parameters at a set of input conditions (temperature and pressure) and a set of output conditions chosen by the user. Mehrbach et al, modifiisert of Dickson & Millero.",FALSE,Other,Could not determine specific analytical technique
VAN_BEMMELEN,TOC beregnet på grunnlag av glødetap.,"Beregning av totalt organisk karbon (TOC) ved hjelp av omregningsfaktor 0,58 fra glødetap.",TOC beregnet på grunnlag av glødetap.,"Beregning of total organic carbon (TOC) ved hjelp of omregningsfaktor 0,58 fra glødetap.",FALSE,Other,Could not determine specific analytical technique
NS-EN ISO 9308-1:2014,Membranfiltermetode (ISO 9308-1:2014),Påvisning og telling av Escherichia coli og koliforme bakterier - Del 1: Membranfiltreringsmetode for vann med lav bakgrunnsverdi for bakterietall (ISO 9308-1:2014),Membranfiltermetode,Påvisning and telling of Escherichia coli and koliforme bakterier - Part 1: Membranfiltreringsmetode for water with lav bakgrunnsverdi for bakterietall,FALSE,Other,Could not determine specific analytical technique
NS-EN ISO 7393-1:2000,Titrimetrisk metod (ISO 7393-1:1985),"Bestemmelse av fritt klor og totalklor - Del 1: Titrimetrisk metode med N,N-dietyl-1,4-fenylendiamin (ISO 7393-1:1985)",Titrimetrisk metod,"Determination of fritt klor and totalklor - Part 1: Titrimetrisk method with N,N-dietyl-1,4-fenylendiamin",FALSE,Other,Classical/non-instrumental analytical method
NS-EN ISO 7393-2:2018,Kolorimetrisk metode (ISO 7393-2:2017),"Bestemmelse av fritt klor og totalklor - Del 2: Kolorimetrisk metode med N,N-dietyl-1,4-fenylendiamin for rutinekontroll (ISO 7393-2:2017)",Colorimetric method,"Determination of fritt klor and totalklor - Part 2: Kolorimetrisk method with N,N-dietyl-1,4-fenylendiamin for rutinekontroll",FALSE,Spectrophotometry,
NS-EN ISO 7393-3:2000,Titrimetrisk metode (ISO 7393-3:1990),Bestemmelse av fritt klor og totalklor- Del 3: Iodometrisk titreringsmetode for bestemmelse av totalklor (ISO 7393-3:1990),Titrimetric method,Determination of fritt klor and totalklor- Part 3: Iodometrisk titreringsmetode for bestemmelse of totalklor,FALSE,Other,Classical/non-instrumental analytical method
NS-EN ISO 11348-3:2008,Økotoksisitet: Vibrio fischeri (ISO 11348-3:2008),Bestemmelse av inhiberende effekt av vannprøver på lysutskillelse hos Vibrio fischeri (luminiscerende bakterier). Del 3: Metode med frysetørkede bakterier (ISO 11348-3:2007).,Økotoksisitet: Vibrio fischeri,Determination of inhiberende effekt of vannprøver on lysutskillelse hos Vibrio fischeri (luminiscerende bakterier). Part 3: method with frysetørkede bakterier.,FALSE,Other,Could not determine specific analytical technique
NS-EN ISO 10253:2016,Økotoksisitet: Skeletonema sp. og Phaeodactylum tricornutum (ISO 10253:2016; Tilbaketrukket)),Prøving av veksthemming av marine alger (Skeletonema sp. og Phaeodactylum tricornutum) (ISO 10253:2016). Tilbaketrukket. Erstattet av NS-EN ISO 10253:2024.,Økotoksisitet: Skeletonema sp. og Phaeodactylum tricornutum),Prøving of veksthemming of marine alger (Skeletonema sp. and Phaeodactylum tricornutum). Withdrawn. Erstattet of NS-EN ISO 10253:2024.,TRUE,Other,Could not determine specific analytical technique
NS-EN 15110-1,Dyreplankton i stillestående vann - kvalitative metoder,Veiledning i prøvetaking av dyreplankton fra stillestående vann,Dyreplankton i stillestående vann - kvalitative metoder,Veiledning in sampling of dyreplankton fra stillestående water,FALSE,Other,Could not determine specific analytical technique
NS-EN ISO 15681-2:2018,Spektrofotometri CFA (ISO 15681-2:2018),Bestemmelse av ortofosfat og totalt fosforinnhold ved automatisert analyse (FIA og CFA) - Del 2: Kontinuerlig gjennomstrømning (CFA) (ISO 15681-2:2018),Spectrophotometry CFA,Determination of ortofosfat and total fosforinnhold ved automatisert analysis (FIA and CFA) - Part 2: Kontinuerlig gjennomstrømning (CFA),FALSE,Spectrophotometry,
NS-EN ISO 7027-2:2019,Visuell metode (ISO 7027-2:2019),Bestemmelse av turbiditet. Del 2: Semikvantitative metoder for vurdering av gjennomsiktighet i vann (ISO 7027-2:2019),Visual method,Determination of turbiditet. Part 2: Semikvantitative metoder for vurdering of gjennomsiktighet in water,FALSE,Other,Classical/non-instrumental analytical method
NS-EN 12916:2019,Væskekromatografi (EN 12916:2019; Tilbaketrukket)),Bestemmelse av aromatiske hydrokarbontyper i mellomdestillater. Væskekromatografi med deteksjon av brytningsindeks. Tilbaketrukket. Erstattet av NS-EN 12916:2022,Liquid chromatography),Determination of aromatiske hydrokarbontyper in mellomdestillater. liquid chromatography with deteksjon of brytningsindeks. Withdrawn. Erstattet of NS-EN 12916:2022,TRUE,LC-MS,Generic liquid chromatography; inferred LC-MS from context
NS-EN ISO 18857-2:2011,Gasskromatografi (ISO 18857-2),"Bestemmelse av utvalgte alkylfenoler - Del 2: Gasskromatografisk-massespektrometrisk bestemmelse av alkylfenoler, deres etoksylater og bisfenol A i ikke-filtrerte prøver ved bruk av fastfase-ekstraksjon og derivatdannelse (ISO 18857-2:2009)",Gas chromatography,"Determination of selected alkylfenoler - Part 2: Gasskromatografisk-massespektrometrisk bestemmelse of alkylfenoler, deres etoksylater and bisfenol A in ikke-filtrerte prøver ved bruk of fastfase-ekstraksjon and derivatdannelse",FALSE,GC-MS,
DI_2013,"NGIG WG DI, Unpublished",Density Index (DI),"NGIG WG DI, Unpublished",Density Index (DI),FALSE,Other,Could not determine specific analytical technique
NS-EN 14757:2015,Garnfiske (NS-EN 14757:2015),Prøvetaking av fisk med garn.,Garnfiske,Sampling of fisk with garn.,FALSE,Other,Could not determine specific analytical technique
NS-EN ISO 9308-2:2014,Metode med mest sannsynlig antall (ISO 9308-2:2012),Påvisning og telling av Escherichia coli og koliforme bakterier - Del 2: Metode med mest sannsynlige antall (ISO 9308-2:2012),Metode med mest sannsynlig antall,Påvisning and telling of Escherichia coli and koliforme bakterier - Part 2: method with mest sannsynlige antall,FALSE,Other,Could not determine specific analytical technique
NS-EN ISO 5815-1:2019,Titrimetrisk metode fortynnet (NS-EN ISO 5815-1:2019),Bestemmelse av biokjemisk oksygenforbruk etter n dager (BOFn) - Del 1: Metode basert på fortynning og poding etter tilsetning av allytiourea (ISO 5815-1:2019),Titrimetric method fortynnet,Determination of biokjemisk oksygenforbruk etter n dager (BOFn) - Part 1: method basert on fortynning and poding etter tilsetning of allytiourea,FALSE,Other,Classical/non-instrumental analytical method
ISO 15923-1:2013,Spektrofotometri (ISO 15923-1:2013),"Determination of selected parameters by discrete analysis systems — Part 1: Ammonium, nitrate, nitrite, chloride, orthophosphate, sulfate and silicate with photometric detection",Spectrophotometry,"Determination of selected parameters by discrete analysis systems — Part 1: Ammonium, nitrate, nitrite, chloride, orthophosphate, sulfate and silicate with photometric detection",FALSE,Spectrophotometry,
NS-EN 16171:2016,ICP-MS (EN 16171:2016),"Slam, behandlet organisk avfall og jord - Bestemmelse av sporstoffer ved bruk av induktorkoplet plasma i massespektrometri (ICP-MS)",ICP-MS,"Slam, behandlet organisk avfall and jord - determination of sporstoffer ved bruk of induktorkoplet plasma in massespektrometri (ICP-MS)",FALSE,ICP-MS,
NS-EN ISO 12010:2019,Gasskromatografi (ISO 12010:2019),Bestemmelse av kortkjedete polyklorerte alkaner (SCCP) i vann - Metode ved bruk av gasskromatografi-massespektrometri (GC-MS) og negativ kjemisk ionisering (NCI) (ISO 12010:2019),Gas chromatography,Determination of kortkjedete polyklorerte alkaner (SCCP) in water - method ved bruk of gasskromatografi-massespektrometri (GC-MS) and negativ kjemisk ionisering (NCI),FALSE,GC-MS,
NS-EN 14372:2004,Gasskromatografi (EN 14372),Spedbarns- og småbarnsprodukter - Spisebestikk - Sikkerhetskrav og prøvinger,Gas chromatography,Spedbarns- and småbarnsprodukter - Spisebestikk - Sikkerhetskrav and prøvinger,FALSE,Other,Could not determine specific analytical technique
ISO 14154:2005,Gasskromatografi (ISO 14154:2005),Determination of some selected chlorophenols — Gas-chromatographic method with electron-capture detection,Gas chromatography,Determination of some selected chlorophenols — Gas-chromatographic method with electron-capture detection,FALSE,Other,Could not determine specific analytical technique
NS-EN 71-12:2016,Sikkerhet for leketøy (EN 71-12),Sikkerhet for leketøy. Del 12: N-nitrosaminer og N-nitrosamindannende stoffer.,Sikkerhet for leketøy,Sikkerhet for leketøy. Part 12: N-nitrosaminer and N-nitrosamindannende stoffer.,FALSE,Other,Could not determine specific analytical technique
NS-EN ISO 17075-1:2017,Kolirimetri (ISO 17075-1),Kjemisk bestemmelse av krom(VI)-innhold i lær - Del 1: Kolorimetrisk metode (ISO 17075-1:2017),Kolirimetri,Kjemisk bestemmelse of krom(VI)-innhold in lær - Part 1: Kolorimetrisk method,FALSE,Spectrophotometry,
NS-EN ISO 17075-2:2017,Væskekromatografi (ISO 17075-2),Kjemisk bestemmelse av krom(VI)-innhold i lær - Del 2: Kromatografisk metode (ISO 17075-2:2017),Liquid chromatography,Kjemisk bestemmelse of krom(VI)-innhold in lær - Part 2: Kromatografisk method,FALSE,LC-MS,Generic liquid chromatography; inferred LC-MS from context
NS-EN 14614:2020,Hydromorfologi (EN 14614:2020),Veiledning for å vurdere hydromorfologiske egenskaper til elver,Hydromorfologi,Veiledning for å vurdere hydromorfologiske egenskaper til elver,FALSE,Other,Could not determine specific analytical technique
NS-EN 14614:2004,Hydromorfologi (EN 14614:2004; Tilbaketrukket),Veiledning for å vurdere hydromorfologiske egenskaper til elver. Tilbaketrukket. Erstattet av NS-EN 14614:2020,Hydromorfologi,Veiledning for å vurdere hydromorfologiske egenskaper til elver. Withdrawn. Erstattet of NS-EN 14614:2020,TRUE,Other,Could not determine specific analytical technique
NS-EN ISO 14189:2016,Membranfiltreringsmetode (NS-EN ISO 14189:2016),Påvisning og telling av Clostridium perfringens - Membranfiltreringsmetode (ISO 14189:2013),Membranfiltreringsmetode,Påvisning and telling of Clostridium perfringens - Membranfiltreringsmetode,FALSE,Other,Could not determine specific analytical technique
NS-EN ISO 6341:2012,Økotoksisitet: Daphnia magna (ISO 6341:2012),"Bestemmelse av hemming av mobiliteten til Daphnia magna Straus (Cladocera, Crustacea) - Prøving av akutt toksisitet (ISO 6341:2012)",Økotoksisitet: Daphnia magna,"Determination of hemming of mobiliteten til Daphnia magna Straus (Cladocera, Crustacea) - Prøving of akutt toksisitet",FALSE,Other,Could not determine specific analytical technique
NS-EN ISO 16712:2006,Økotoksisitet: Amfipoder i marine sedimenter (ISO 16712:2006),Vannundersøkelse - Bestemmelse av akutt toksisitet til marine og estuarine sedimenter for amfipoder (ISO 16712:2006),Økotoksisitet: Amfipoder i marine sedimenter,Vannundersøkelse - determination of akutt toksisitet til marine and estuarine sedimenter for amfipoder,FALSE,Other,Could not determine specific analytical technique
NS-EN 16039:2011,Hydromorfologi (EN 16039:2011),Veiledning for å vurdere hydromorfologiske egenskaper til innsjøer,Hydromorfologi,Veiledning for å vurdere hydromorfologiske egenskaper til innsjøer,FALSE,Other,Could not determine specific analytical technique
NS-EN 71-11:2005,Sikkerhet for leketøy (EN 71-11),Sikkerhet for leketøy - Del 11: Organiske kjemiske forbindelser - Analysemetoder,Sikkerhet for leketøy,Sikkerhet for leketøy - Part 11: Organiske kjemiske forbindelser - Analysemetoder,FALSE,Other,Could not determine specific analytical technique
NS-EN ISO 20236:2021,Kjemiluminiscens (ISO 20236:2018),"Bestemmelse av totalt innhold av organisk karbon (TOC), løst organisk karbon (DOC), totalt innhold av bundet nitrogen (TNb) og løst bundet nitrogen (DNb) etter katalytisk oksidasjonsforbrenning ved høy temperatur (ISO 20236:2018)",Kjemiluminiscens,"Determination of total innhold of organic carbon (TOC), løst organic carbon (DOC), total innhold of bundet nitrogen (TNb) and løst bundet nitrogen (DNb) etter katalytisk oksidasjonsforbrenning ved høy temperatur",FALSE,Other,Could not determine specific analytical technique
ISO 23646:2022,Gasskromatografi (ISO 23646),Determination of organochlorine pesticides by gas chromatography with mass selective detection (GC-MS) and gas chromatography with electron-capture detection (GC-ECD),Gas chromatography,Determination of organochlorine pesticides by gas chromatography with mass selective detection (GC-MS) and gas chromatography with electron-capture detection (GC-ECD),FALSE,Other,Could not determine specific analytical technique
IOCCG 2021,Spektrofotometri (IOCCG 2021),Measurment protocol of absorption by chromophoric dissolved organic matter (cDOM) and other dissolved materials.,Spectrophotometry (IOCCG 2021),Measurment protocol of absorption by chromophoric dissolved organic matter (cDOM) and other dissolved materials.,FALSE,Spectrophotometry,
